"Office Supplies","Houston","United States","DP-13000","Darren Powers",0.2,"2014-01-03","CA-2014-103800",77095,"OFF-PA-10000174","Message Book. Wirebound. Four 5 1/2"" X 4"" Forms/Pg.. 200 Dupl. Sets/Book",5.5512,2,"Central",7981,16.448,"Consumer","2014-01-07","Standard Class","Texas","Paper"
"Office Supplies","Naperville","United States","PO-19195","Phillina Ober",0.8,"2014-01-04","CA-2014-112326",60540,"OFF-BI-10004094","GBC Standard Plastic Binding Systems Combs",-5.487,2,"Central",742,3.54,"Home Office","2014-01-08","Standard Class","Illinois","Binders"
"Office Supplies","Naperville","United States","PO-19195","Phillina Ober",0.2,"2014-01-04","CA-2014-112326",60540,"OFF-LA-10003223","Avery 508",4.2717,3,"Central",740,11.783999,"Home Office","2014-01-08","Standard Class","Illinois","Labels"
"Office Supplies","Naperville","United States","PO-19195","Phillina Ober",0.2,"2014-01-04","CA-2014-112326",60540,"OFF-ST-10002743","SAFCO Boltless Steel Shelving",-64.774796,3,"Central",741,272.73602,"Home Office","2014-01-08","Standard Class","Illinois","Storage"
"Office Supplies","Philadelphia","United States","MB-18085","Mick Brown",0.2,"2014-01-05","CA-2014-141817",19143,"OFF-AR-10003478","Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters. 4/Pack",4.8840003,3,"East",1760,19.536001,"Consumer","2014-01-12","Standard Class","Pennsylvania","Art"
"Furniture","Henderson","United States","ME-17320","Maria Etezadi",0,"2014-01-06","CA-2014-167199",42420,"FUR-CH-10004063","Global Deluxe High-Back Manager's Chair",746.40784,9,"South",7475,2573.82,"Home Office","2014-01-10","Standard Class","Kentucky","Chairs"
"Office Supplies","Henderson","United States","ME-17320","Maria Etezadi",0,"2014-01-06","CA-2014-167199",42420,"OFF-AR-10001662","Rogers Handheld Barrel Pencil Sharpener",1.4796,2,"South",7477,5.48,"Home Office","2014-01-10","Standard Class","Kentucky","Art"
"Office Supplies","Athens","United States","JO-15145","Jack O'Briant",0,"2014-01-06","CA-2014-106054",30605,"OFF-AR-10002399","Dixon Prang Watercolor Pencils. 10-Color Set with Brush",5.2398,3,"South",7181,12.78,"Corporate","2014-01-07","First Class","Georgia","Art"
"Office Supplies","Henderson","United States","ME-17320","Maria Etezadi",0,"2014-01-06","CA-2014-167199",42420,"OFF-BI-10004632","Ibico Hi-Tech Manual Binding System",274.491,2,"South",7476,609.98004,"Home Office","2014-01-10","Standard Class","Kentucky","Binders"
"Office Supplies","Henderson","United States","ME-17320","Maria Etezadi",0,"2014-01-06","CA-2014-167199",42420,"OFF-FA-10001883","Alliance Super-Size Bands. Assorted Sizes",0.3112,4,"South",7480,31.12,"Home Office","2014-01-10","Standard Class","Kentucky","Fasteners"
"Office Supplies","Henderson","United States","ME-17320","Maria Etezadi",0,"2014-01-06","CA-2014-167199",42420,"OFF-PA-10000955","Southworth 25% Cotton Granite Paper & Envelopes",3.0084,1,"South",7481,6.54,"Home Office","2014-01-10","Standard Class","Kentucky","Paper"
"Office Supplies","Los Angeles","United States","LS-17230","Lycoris Saunders",0,"2014-01-06","CA-2014-130813",90049,"OFF-PA-10002005","Xerox 225",9.331201,3,"West",5328,19.44,"Consumer","2014-01-08","Second Class","California","Paper"
"Technology","Henderson","United States","ME-17320","Maria Etezadi",0,"2014-01-06","CA-2014-167199",42420,"TEC-PH-10004539","Wireless Extenders zBoost YX545 SOHO Signal Booster",204.1092,4,"South",7479,755.96,"Home Office","2014-01-10","Standard Class","Kentucky","Phones"
"Technology","Henderson","United States","ME-17320","Maria Etezadi",0,"2014-01-06","CA-2014-167199",42420,"TEC-PH-10004977","GE 30524EE4",113.674194,2,"South",7478,391.97998,"Home Office","2014-01-10","Standard Class","Kentucky","Phones"
"Furniture","Huntsville","United States","VS-21820","Vivek Sundaresam",0.6,"2014-01-07","CA-2014-105417",77340,"FUR-FU-10004864","Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",-53.7096,3,"Central",7661,76.728,"Consumer","2014-01-12","Standard Class","Texas","Furnishings"
"Office Supplies","Huntsville","United States","VS-21820","Vivek Sundaresam",0.8,"2014-01-07","CA-2014-105417",77340,"OFF-BI-10003708","Acco Four Pocket Poly Ring Binder with Label Holder. Smoke. 1""",-18.2525,7,"Central",7662,10.429999,"Consumer","2014-01-12","Standard Class","Texas","Binders"
"Office Supplies","Laredo","United States","MS-17830","Melanie Seite",0.2,"2014-01-09","CA-2014-135405",78041,"OFF-AR-10004078","Newell 312",1.168,2,"Central",593,9.344,"Consumer","2014-01-13","Standard Class","Texas","Art"
"Technology","Laredo","United States","MS-17830","Melanie Seite",0.2,"2014-01-09","CA-2014-135405",78041,"TEC-AC-10001266","Memorex Micro Travel Drive 8 GB",9.75,3,"Central",594,31.2,"Consumer","2014-01-13","Standard Class","Texas","Accessories"
